Feature,Mean
lead_time,116.28720363696678
arrival_date_year,2017.0
arrival_date_week_number,2016.213985823337
arrival_date_day_of_month,15.70962377317339
stays_in_weekend_nights,0.9931272893829967
stays_in_week_nights,2.347333818519836
adults,2.0
children,0.0
babies,0.0
is_repeated_guest,0.0
previous_cancellations,0.0
previous_bookings_not_canceled,0.0
booking_changes,0.0
agent,82.59247546346784
company,0.0
days_in_waiting_list,0.11378051311646473
adr,100.43723974557321
required_car_parking_spaces,0.0
total_of_special_requests,0.6013904034896401
booking_difficulty_score,1.0046283463688694
total_nights,3.3404611079028323
total_guests,2.0
adr_per_person,50.218619872786604
cancellation_ratio_prev_bookings,0.0
is_direct_booking,0.0
hotel_Resort Hotel,0.2985823336968375
arrival_date_month_August,0.13525081788440568
arrival_date_month_December,0.05054525627044711
arrival_date_month_February,0.06060523446019629
arrival_date_month_January,0.021128680479825517
arrival_date_month_July,0.10779716466739367
arrival_date_month_June,0.10414394765539804
arrival_date_month_March,0.0814340239912759
arrival_date_month_May,0.10956924754634678
arrival_date_month_November,0.0495092693565976
arrival_date_month_October,0.08511450381679389
arrival_date_month_September,0.09010359869138496
meal_FB,0.005316248636859324
meal_HB,0.09427480916030534
meal_MISSING,0.06060523446019629
meal_SC,0.10507088331515813
meal_UNAVAILABLE,0.062104689203925846
meal_UNKNOWN,0.06243184296619411
meal_Undefined,0.005043620501635769
country_AGO,0.0010087241003271538
country_ALB,8.178844056706652e-05
country_AND,5.452562704471101e-05
country_ARE,0.0002998909487459106
country_ARG,0.0015539803707742639
country_ARM,0.00010905125408942203
country_ASM,2.7262813522355506e-05
country_ATF,2.7262813522355506e-05
country_AUS,0.003653217011995638
country_AUT,0.008996728462377318
country_AZE,2.7262813522355506e-05
country_BEL,0.016902944383860415
country_BEN,2.7262813522355506e-05
country_BGD,2.7262813522355506e-05
country_BGR,0.0007360959651035987
country_BHS,2.7262813522355506e-05
country_BIH,0.00010905125408942203
country_BLR,0.00019083969465648855
country_BOL,0.00010905125408942203
country_BRA,0.015403489640130861
country_CAF,2.7262813522355506e-05
country_CHE,0.012486368593238822
country_CHL,0.0004089422028353326
country_CHN,0.007306434023991276
country_CIV,2.7262813522355506e-05
country_CMR,5.452562704471101e-05
country_CN,0.010059978189749182
country_COL,0.0005179934569247547
country_CPV,0.00016357688113413304
country_CRI,5.452562704471101e-05
country_CUB,2.7262813522355506e-05
country_CYM,2.7262813522355506e-05
country_CYP,0.00013631406761177754
country_CZE,0.0010359869138495093
country_DEU,0.058287895310796076
country_DMA,2.7262813522355506e-05
country_DNK,0.0029171210468920392
country_DOM,2.7262813522355506e-05
country_DZA,0.0005179934569247547
country_ECU,0.00021810250817884405
country_EGY,8.178844056706652e-05
country_ESP,0.055370774263904035
country_EST,0.0004907306434023992
country_FIN,0.002480916030534351
country_FRA,0.08031624863685932
country_GAB,2.7262813522355506e-05
country_GBR,0.0913576881134133
country_GEO,0.00021810250817884405
country_GHA,5.452562704471101e-05
country_GIB,0.0002453653217011996
country_GNB,2.7262813522355506e-05
country_GRC,0.0007088331515812432
country_HKG,0.0002726281352235551
country_HND,2.7262813522355506e-05
country_HRV,0.0006543075245365322
country_HUN,0.0015267175572519084
country_IDN,0.0002998909487459106
country_IMN,2.7262813522355506e-05
country_IND,0.0006815703380588877
country_IRL,0.029225736095965103
country_IRN,0.0003816793893129771
country_IRQ,8.178844056706652e-05
country_ISL,0.0003816793893129771
country_ISR,0.004798255179934569
country_ITA,0.02748091603053435
country_JAM,2.7262813522355506e-05
country_JEY,5.452562704471101e-05
country_JOR,8.178844056706652e-05
country_JPN,0.0008724100327153762
country_KAZ,5.452562704471101e-05
country_KEN,2.7262813522355506e-05
country_KNA,2.7262813522355506e-05
country_KOR,0.0008996728462377317
country_KWT,0.00016357688113413304
country_LAO,2.7262813522355506e-05
country_LBN,0.00016357688113413304
country_LIE,5.452562704471101e-05
country_LKA,2.7262813522355506e-05
country_LTU,0.0005452562704471102
country_LUX,0.0017993456924754634
country_LVA,0.0005997818974918212
country_MAC,5.452562704471101e-05
country_MAR,0.0014176663031624864
country_MCO,2.7262813522355506e-05
country_MDV,5.452562704471101e-05
country_MEX,0.0005997818974918212
country_MISSING,0.06314067611777535
country_MLI,2.7262813522355506e-05
country_MLT,0.00013631406761177754
country_MMR,2.7262813522355506e-05
country_MOZ,0.0002998909487459106
country_MRT,2.7262813522355506e-05
country_MUS,5.452562704471101e-05
country_MYS,0.00013631406761177754
country_NAM,2.7262813522355506e-05
country_NCL,2.7262813522355506e-05
country_NGA,0.00013631406761177754
country_NLD,0.015512540894220283
country_NOR,0.003816793893129771
country_NZL,0.0005452562704471102
country_OMN,5.452562704471101e-05
country_PAK,2.7262813522355506e-05
country_PER,0.00013631406761177754
country_PHL,0.00019083969465648855
country_PLW,2.7262813522355506e-05
country_POL,0.0053980370774263904
country_PRI,2.7262813522355506e-05
country_PRT,0.30417121046892037
country_PRY,0.00010905125408942203
country_QAT,5.452562704471101e-05
country_ROU,0.0034078516902944383
country_RUS,0.0038985823336968374
country_SAU,0.0002998909487459106
country_SDN,2.7262813522355506e-05
country_SGP,0.0003544165757906216
country_SRB,0.00019083969465648855
country_SUR,5.452562704471101e-05
country_SVK,0.0004907306434023992
country_SVN,0.0003544165757906216
country_SWE,0.0059432933478735005
country_SYR,2.7262813522355506e-05
country_TGO,2.7262813522355506e-05
country_THA,0.0005179934569247547
country_TJK,0.00016357688113413304
country_TUN,0.0004089422028353326
country_TUR,0.0017448200654307524
country_TWN,0.0002726281352235551
country_UKR,0.0003544165757906216
country_UMI,2.7262813522355506e-05
country_UNAVAILABLE,0.06393129770992366
country_UNKNOWN,0.06112322791712105
country_URY,0.00016357688113413304
country_USA,0.012568157033805889
country_VEN,0.00016357688113413304
country_VGB,2.7262813522355506e-05
country_VNM,2.7262813522355506e-05
country_ZAF,0.0007633587786259542
country_ZWE,2.7262813522355506e-05
market_segment_Corporate,0.0017448200654307524
market_segment_Direct,0.036941112322791715
market_segment_Groups,0.11932933478735006
market_segment_MISSING,0.0648854961832061
market_segment_Offline TA/TO,0.1896401308615049
market_segment_Online TA,0.45114503816793894
market_segment_UNAVAILABLE,0.06660305343511451
market_segment_UNKNOWN,0.06949291166848419
distribution_channel_Direct,0.04023991275899673
distribution_channel_GDS,0.00010905125408942203
distribution_channel_MISSING,0.06902944383860414
distribution_channel_TA/TO,0.7511995637949836
distribution_channel_UNAVAILABLE,0.06668484187568156
distribution_channel_UNKNOWN,0.06870229007633588
reserved_room_type_B,0.004880043620501636
reserved_room_type_C,0.0013358778625954199
reserved_room_type_D,0.17295528898582332
reserved_room_type_E,0.05305343511450382
reserved_room_type_F,0.007660850599781897
reserved_room_type_G,0.0026717557251908397
reserved_room_type_H,0.0004089422028353326
deposit_type_Non Refund,0.12121046892039258
deposit_type_Refundable,0.0002998909487459106
customer_type_Group,0.0030261723009814613
customer_type_Transient,0.783587786259542
customer_type_Transient-Party,0.1745092693565976
